date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:55:25	179921/179921	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Jul%202020%2009:55:25%20GMT	https://khoi.thangbaycuaanh.online/yeuchang	S:/WinHTTrack/ASite/https___khoi.thangbaycuaanh.online_yeuchang/khoi.thangbaycuaanh.online/yeuchang.html	(from )
16:55:26	22/22	---M--	200	added ('OK')	text/plain	date:Tue,%2014%20Jul%202020%2009:55:26%20GMT	https://khoi.thangbaycuaanh.online/robots.txt		(from )
16:55:26	150/150	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2014%20Jul%202020%2009:55:27%20GMT	https://static.ladipage.net/5b80bae280c18044b11eada8/untitled-1-20191220170505.jpg	S:/WinHTTrack/ASite/https___khoi.thangbaycuaanh.online_yeuchang/static.ladipage.net/5b80bae280c18044b11eada8/untitled-1-20191220170505.1.delayed	(from https://khoi.thangbaycuaanh.online/yeuchang)
16:55:27	34141/34141	---MCZ	200	added ('OK')	image/jpeg	date:Tue,%2014%20Jul%202020%2009:55:27%20GMT	https://w.ladicdn.com:443/5b80bae280c18044b11eada8/untitled-1-20191220170505.jpg	S:/WinHTTrack/ASite/https___khoi.thangbaycuaanh.online_yeuchang/w.ladicdn.com_443/5b80bae280c18044b11eada8/untitled-1-20191220170505.jpg	(from https://khoi.thangbaycuaanh.online/yeuchang)
16:55:27	151153/151153	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2014%20Jul%202020%2009:55:28%20GMT	https://w.ladicdn.com/v2/source/ladipage.min.js?v=1594693970605	S:/WinHTTrack/ASite/https___khoi.thangbaycuaanh.online_yeuchang/w.ladicdn.com/v2/source/ladipage.min9a60.js	(from https://khoi.thangbaycuaanh.online/yeuchang)
16:55:27	8662/8662	---MCZ	200	added ('OK')	image/png	date:Tue,%2014%20Jul%202020%2009:55:28%20GMT	https://w.ladicdn.com/s750x350/5b80bae280c18044b11eada8/tag-1542731526-1545920047-1547649152-20191211120327.png	S:/WinHTTrack/ASite/https___khoi.thangbaycuaanh.online_yeuchang/w.ladicdn.com/s750x350/5b80bae280c18044b11eada8/tag-1542731526-1545920047-1547649152-20191211120327.png	(from https://khoi.thangbaycuaanh.online/yeuchang)
16:55:28	23898/23898	---MCZ	200	added ('OK')	image/png	date:Tue,%2014%20Jul%202020%2009:55:28%20GMT	https://w.ladicdn.com/s450x450/5b80bae280c18044b11eada8/chung-nhan-cua-bo-y-te-1484538464-1542132723-1552194046-1557758622-20191206015153-20191209182957.png	S:/WinHTTrack/ASite/https___khoi.thangbaycuaanh.online_yeuchang/w.ladicdn.com/s450x450/5b80bae280c18044b11eada8/chung-nhan-cua-bo-y-te-1484538464-1542132723-1552194046-1557758622-20191206015153-20191209182957.png	(from https://khoi.thangbaycuaanh.online/yeuchang)
16:55:28	17006/17006	---MCZ	200	added ('OK')	image/png	date:Tue,%2014%20Jul%202020%2009:55:29%20GMT	https://w.ladicdn.com/s400x400/5af25f2079c3a9d6356a7108/5-1532423819-20190928020534.png	S:/WinHTTrack/ASite/https___khoi.thangbaycuaanh.online_yeuchang/w.ladicdn.com/s400x400/5af25f2079c3a9d6356a7108/5-1532423819-20190928020534.png	(from https://khoi.thangbaycuaanh.online/yeuchang)
16:55:28	16715/16715	---MCZ	200	added ('OK')	image/png	date:Tue,%2014%20Jul%202020%2009:55:29%20GMT	https://w.ladicdn.com/s400x400/5af25f2079c3a9d6356a7108/6-1532423819-20190928020535.png	S:/WinHTTrack/ASite/https___khoi.thangbaycuaanh.online_yeuchang/w.ladicdn.com/s400x400/5af25f2079c3a9d6356a7108/6-1532423819-20190928020535.png	(from https://khoi.thangbaycuaanh.online/yeuchang)
16:55:28	499294/499294	---MCZ	200	added ('OK')	image/png	date:Tue,%2014%20Jul%202020%2009:55:29%20GMT	https://w.ladicdn.com/s700x550/5b80bae280c18044b11eada8/rfg-1547927645-20191211124547.png	S:/WinHTTrack/ASite/https___khoi.thangbaycuaanh.online_yeuchang/w.ladicdn.com/s700x550/5b80bae280c18044b11eada8/rfg-1547927645-20191211124547.png	(from https://khoi.thangbaycuaanh.online/yeuchang)
16:55:28	14099/14099	---MCZ	200	added ('OK')	image/png	date:Tue,%2014%20Jul%202020%2009:55:29%20GMT	https://w.ladicdn.com/s400x400/5af25f2079c3a9d6356a7108/7-1532423819-20190928020535.png	S:/WinHTTrack/ASite/https___khoi.thangbaycuaanh.online_yeuchang/w.ladicdn.com/s400x400/5af25f2079c3a9d6356a7108/7-1532423819-20190928020535.png	(from https://khoi.thangbaycuaanh.online/yeuchang)
16:55:29	14642/14642	---MCZ	200	added ('OK')	image/png	date:Tue,%2014%20Jul%202020%2009:55:30%20GMT	https://w.ladicdn.com/s400x400/5af25f2079c3a9d6356a7108/8-1532423819-20190928020547.png	S:/WinHTTrack/ASite/https___khoi.thangbaycuaanh.online_yeuchang/w.ladicdn.com/s400x400/5af25f2079c3a9d6356a7108/8-1532423819-20190928020547.png	(from https://khoi.thangbaycuaanh.online/yeuchang)
16:55:29	84686/84686	---MCZ	200	added ('OK')	image/png	date:Tue,%2014%20Jul%202020%2009:55:30%20GMT	https://w.ladicdn.com/s700x500/5b80bae280c18044b11eada8/screenshot_1-20200514074408-20200709105952.png	S:/WinHTTrack/ASite/https___khoi.thangbaycuaanh.online_yeuchang/w.ladicdn.com/s700x500/5b80bae280c18044b11eada8/screenshot_1-20200514074408-20200709105952.png	(from https://khoi.thangbaycuaanh.online/yeuchang)
16:55:29	102667/102667	---MCZ	200	added ('OK')	image/png	date:Tue,%2014%20Jul%202020%2009:55:30%20GMT	https://w.ladicdn.com/s750x550/5b80bae280c18044b11eada8/screenshot_2-20200515031752-20200709110246.png	S:/WinHTTrack/ASite/https___khoi.thangbaycuaanh.online_yeuchang/w.ladicdn.com/s750x550/5b80bae280c18044b11eada8/screenshot_2-20200515031752-20200709110246.png	(from https://khoi.thangbaycuaanh.online/yeuchang)
16:55:30	104142/104142	---MCZ	200	added ('OK')	image/jpeg	date:Tue,%2014%20Jul%202020%2009:55:31%20GMT	https://w.ladicdn.com/s700x600/5b80bae280c18044b11eada8/d8f4d05d1747ed19b456-20200515032549-20200709110310.jpg	S:/WinHTTrack/ASite/https___khoi.thangbaycuaanh.online_yeuchang/w.ladicdn.com/s700x600/5b80bae280c18044b11eada8/d8f4d05d1747ed19b456-20200515032549-20200709110310.jpg	(from https://khoi.thangbaycuaanh.online/yeuchang)
16:55:30	109632/109632	---MCZ	200	added ('OK')	image/jpeg	date:Tue,%2014%20Jul%202020%2009:55:31%20GMT	https://w.ladicdn.com/s700x600/5b80bae280c18044b11eada8/364c6ce5abff51a108ee-20200515032549-20200709110257.jpg	S:/WinHTTrack/ASite/https___khoi.thangbaycuaanh.online_yeuchang/w.ladicdn.com/s700x600/5b80bae280c18044b11eada8/364c6ce5abff51a108ee-20200515032549-20200709110257.jpg	(from https://khoi.thangbaycuaanh.online/yeuchang)
