date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:00:46	150576/150576	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Jul%202020%2004:00:46%20GMT	https://1bat.bunbohue.online/vietviet	S:/WinHTTrack/ASite/https___1bat.bunbohue.online_vietviet/1bat.bunbohue.online/vietviet.html	(from )
11:00:46	22/22	---M--	200	added ('OK')	text/plain	date:Tue,%2014%20Jul%202020%2004:00:47%20GMT	https://1bat.bunbohue.online/robots.txt		(from )
11:00:47	150/150	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2014%20Jul%202020%2004:00:47%20GMT	https://static.ladipage.net/5b80bae280c18044b11eada8/untitled-1-20191220170505.jpg	S:/WinHTTrack/ASite/https___1bat.bunbohue.online_vietviet/static.ladipage.net/5b80bae280c18044b11eada8/untitled-1-20191220170505.1.delayed	(from https://1bat.bunbohue.online/vietviet)
11:00:47	34141/34141	---MCZ	200	added ('OK')	image/jpeg	date:Tue,%2014%20Jul%202020%2004:00:48%20GMT	https://w.ladicdn.com:443/5b80bae280c18044b11eada8/untitled-1-20191220170505.jpg	S:/WinHTTrack/ASite/https___1bat.bunbohue.online_vietviet/w.ladicdn.com_443/5b80bae280c18044b11eada8/untitled-1-20191220170505.jpg	(from https://1bat.bunbohue.online/vietviet)
11:00:48	151153/151153	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2014%20Jul%202020%2004:00:48%20GMT	https://w.ladicdn.com/v2/source/ladipage.min.js?v=1594693970605	S:/WinHTTrack/ASite/https___1bat.bunbohue.online_vietviet/w.ladicdn.com/v2/source/ladipage.min9a60.js	(from https://1bat.bunbohue.online/vietviet)
11:00:49	397968/397968	---MCZ	200	added ('OK')	image/png	date:Tue,%2014%20Jul%202020%2004:00:49%20GMT	https://w.ladicdn.com/s750x500/5af25e5079c3a9d6356a70ce/pd-20200316065706.png	S:/WinHTTrack/ASite/https___1bat.bunbohue.online_vietviet/w.ladicdn.com/s750x500/5af25e5079c3a9d6356a70ce/pd-20200316065706.png	(from https://1bat.bunbohue.online/vietviet)
11:00:50	10342/10342	---MCZ	200	added ('OK')	image/png	date:Tue,%2014%20Jul%202020%2004:00:51%20GMT	https://w.ladicdn.com/s500x400/5af25e5079c3a9d6356a70ce/95-20200316072859.png	S:/WinHTTrack/ASite/https___1bat.bunbohue.online_vietviet/w.ladicdn.com/s500x400/5af25e5079c3a9d6356a70ce/95-20200316072859.png	(from https://1bat.bunbohue.online/vietviet)
11:00:52	8682/8682	---M--	200	added ('OK')	image/jpeg	etag:%220%22	https://img.youtube.com/vi/MRxCcmewP54/hqdefault.jpg	S:/WinHTTrack/ASite/https___1bat.bunbohue.online_vietviet/img.youtube.com/vi/MRxCcmewP54/hqdefault.jpg	(from https://1bat.bunbohue.online/vietviet)
11:00:53	580242/580242	---MCZ	200	added ('OK')	image/png	date:Tue,%2014%20Jul%202020%2004:00:49%20GMT	https://w.ladicdn.com/s600x550/5af25e5079c3a9d6356a70ce/mt-20200316070855.png	S:/WinHTTrack/ASite/https___1bat.bunbohue.online_vietviet/w.ladicdn.com/s600x550/5af25e5079c3a9d6356a70ce/mt-20200316070855.png	(from https://1bat.bunbohue.online/vietviet)
11:00:53	369470/369470	---MCZ	200	added ('OK')	image/png	date:Tue,%2014%20Jul%202020%2004:00:50%20GMT	https://w.ladicdn.com/s750x600/5af25e5079c3a9d6356a70ce/xkm-20200316072720.png	S:/WinHTTrack/ASite/https___1bat.bunbohue.online_vietviet/w.ladicdn.com/s750x600/5af25e5079c3a9d6356a70ce/xkm-20200316072720.png	(from https://1bat.bunbohue.online/vietviet)
11:00:53	109847/109847	---MCZ	200	added ('OK')	image/jpeg	date:Tue,%2014%20Jul%202020%2004:00:53%20GMT	https://w.ladicdn.com/s550x600/5af25e5079c3a9d6356a70ce/moc-thanh-compressed-1562659315-20191106020444.jpg	S:/WinHTTrack/ASite/https___1bat.bunbohue.online_vietviet/w.ladicdn.com/s550x600/5af25e5079c3a9d6356a70ce/moc-thanh-compressed-1562659315-20191106020444.jpg	(from https://1bat.bunbohue.online/vietviet)
11:00:54	7594/7594	---MCZ	200	added ('OK')	image/png	date:Tue,%2014%20Jul%202020%2004:00:54%20GMT	https://w.ladicdn.com/s450x450/5af25e5079c3a9d6356a70ce/2-20200316062754.png	S:/WinHTTrack/ASite/https___1bat.bunbohue.online_vietviet/w.ladicdn.com/s450x450/5af25e5079c3a9d6356a70ce/2-20200316062754.png	(from https://1bat.bunbohue.online/vietviet)
11:00:54	102371/102371	---MCZ	200	added ('OK')	image/jpeg	date:Tue,%2014%20Jul%202020%2004:00:54%20GMT	https://w.ladicdn.com/s700x700/5af25e5079c3a9d6356a70ce/canh-dong-duoc-lieu-1566015441.jpg	S:/WinHTTrack/ASite/https___1bat.bunbohue.online_vietviet/w.ladicdn.com/s700x700/5af25e5079c3a9d6356a70ce/canh-dong-duoc-lieu-1566015441.jpg	(from https://1bat.bunbohue.online/vietviet)
11:00:54	1493/1493	---MCZ	200	added ('OK')	image/png	date:Tue,%2014%20Jul%202020%2004:00:55%20GMT	https://w.ladicdn.com/s450x350/5b80bae280c18044b11eada8/capture-1566990224-20200520082947.png	S:/WinHTTrack/ASite/https___1bat.bunbohue.online_vietviet/w.ladicdn.com/s450x350/5b80bae280c18044b11eada8/capture-1566990224-20200520082947.png	(from https://1bat.bunbohue.online/vietviet)
11:00:55	10996/10996	---M--	200	added ('OK')	image/jpeg	etag:%220%22	https://img.youtube.com/vi/GO2vlCWqGiM/hqdefault.jpg	S:/WinHTTrack/ASite/https___1bat.bunbohue.online_vietviet/img.youtube.com/vi/GO2vlCWqGiM/hqdefault.jpg	(from https://1bat.bunbohue.online/vietviet)
11:00:55	95882/95882	---MCZ	200	added ('OK')	image/png	date:Tue,%2014%20Jul%202020%2004:00:55%20GMT	https://w.ladicdn.com/s450x750/5b80bae280c18044b11eada8/annotation-2020-05-20-163758-20200520093828.png	S:/WinHTTrack/ASite/https___1bat.bunbohue.online_vietviet/w.ladicdn.com/s450x750/5b80bae280c18044b11eada8/annotation-2020-05-20-163758-20200520093828.png	(from https://1bat.bunbohue.online/vietviet)
11:00:56	226325/226325	---MCZ	200	added ('OK')	image/png	date:Tue,%2014%20Jul%202020%2004:00:56%20GMT	https://w.ladicdn.com/s700x600/5b80bae280c18044b11eada8/annotation-2020-05-20-171327-20200520101359.png	S:/WinHTTrack/ASite/https___1bat.bunbohue.online_vietviet/w.ladicdn.com/s700x600/5b80bae280c18044b11eada8/annotation-2020-05-20-171327-20200520101359.png	(from https://1bat.bunbohue.online/vietviet)
11:00:56	190100/190100	---MCZ	200	added ('OK')	image/png	date:Tue,%2014%20Jul%202020%2004:00:56%20GMT	https://w.ladicdn.com/s700x550/5b80bae280c18044b11eada8/annotation-2020-05-20-172437-20200520104131.png	S:/WinHTTrack/ASite/https___1bat.bunbohue.online_vietviet/w.ladicdn.com/s700x550/5b80bae280c18044b11eada8/annotation-2020-05-20-172437-20200520104131.png	(from https://1bat.bunbohue.online/vietviet)
11:00:57	276349/276349	---MCZ	200	added ('OK')	image/png	date:Tue,%2014%20Jul%202020%2004:00:56%20GMT	https://w.ladicdn.com/s700x600/5b80bae280c18044b11eada8/annotation-2020-05-20-171601-20200520101618.png	S:/WinHTTrack/ASite/https___1bat.bunbohue.online_vietviet/w.ladicdn.com/s700x600/5b80bae280c18044b11eada8/annotation-2020-05-20-171601-20200520101618.png	(from https://1bat.bunbohue.online/vietviet)
11:00:57	134178/134178	---MCZ	200	added ('OK')	image/png	date:Tue,%2014%20Jul%202020%2004:00:57%20GMT	https://w.ladicdn.com/s700x450/5b80bae280c18044b11eada8/annotation-2020-05-20-174306-20200520104324.png	S:/WinHTTrack/ASite/https___1bat.bunbohue.online_vietviet/w.ladicdn.com/s700x450/5b80bae280c18044b11eada8/annotation-2020-05-20-174306-20200520104324.png	(from https://1bat.bunbohue.online/vietviet)
11:00:58	13403/13403	---M--	200	added ('OK')	image/jpeg	etag:%220%22	https://img.youtube.com/vi/MJt9W19kbfU/hqdefault.jpg	S:/WinHTTrack/ASite/https___1bat.bunbohue.online_vietviet/img.youtube.com/vi/MJt9W19kbfU/hqdefault.jpg	(from https://1bat.bunbohue.online/vietviet)
